 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
 グ	vc, comp not found	セントビンセント グレナディーン諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	5023
 フテュナ	wf, comp not found	ワリス フテュナ諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	5041
 ブ	nb, comp not found	ノルウェー ブークモール語	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	3256
 保	serverType-none, comp not found	ローカルメール 保存	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10592
"%1$S" を訪れようとしています。このサイトはあなたが違うサイトを訪れていると思わせようとしている可能性があります。十分に注意してください。	PhishingAuth	self	You are about to visit "%1$S". This site may be attempting to trick you into thinking you are visiting a different site. Use extreme caution.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	17446
"%S" からの証明書失効リスト (CRL) は更新が必要です。	crlNextUpdateMsg2	self	The certificate revocation list (CRL) from "%S" needs to be updated.	phrase, no reading now	no comment	です [です] (aux) (pol) polite copula in Japanese/(P)/<br>	firefox phrase	19321
"%S" が行う認証のうち、信頼するものを選択してください。	newCAMessage1	self	Do you want to trust "%S" for the following purposes?	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	18661
"%S" という名前のツールバーはすでに存在します。別の名前を入力してください。	enterToolbarDup	self	There is already a toolbar with the name "%S". Please enter a different name.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	2275
"%S" のスクリプトが次の特権を求めています:\n\n%S\n\n特権は危険であり、許可するとウイルスに感染したりコンピュータやデータを破壊されたりする恐れがあります。このサイトを信頼できる場合にのみ特権を許可してください。特権を許可しますか？	EnableCapabilityQuery	self	A script from "%S" is requesting enhanced abilities that are UNSAFE and could be used to compromise your machine or data:\n\n%S\n\nAllow these abilities only if you trust this source to be free of viruses or malicious programs.	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	5162
"%S" は実行可能なファイルです。実行可能なファイルにはあなたのコンピュータを破壊するウイルス、その他の悪意あるコードが含まれていることがあります。この形式のファイルを開く場合には注意してください。"%S" を実行してもよろしいですか？	fileExecutableSecurityWarning	self	"%S" is an executable file. Executable files may contain viruses or other malicious code that could harm your computer. Use caution when opening this file. Are you sure you want to launch "%S"?	phrase, no reading now	no comment	ですか [ですか] (exp) indicates question (sentence end)/<br>	firefox phrase	15364
"%S" は拡張できません。一般に、タグ名を拡張することはできません。	InvalidExtendsBinding	self	Extending "%S" is invalid. In general, do not extend tag names.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	5457
"%name%" はすでに存在します。別のサイト名を入力してください。	DuplicateSiteNameError	self	"%name%" already exists. Please enter a different site name.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	680
">本文をダウンロード</a> してください。</div>	1044	self	">here</A> to download the rest of the message.</B></TD></TR></TABLE></CENTER>	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	12640
">続きをダウンロード</a> してください。</div>	1039	self	">here</A> to download the rest of the message.</B></TD></TR></TABLE></CENTER>	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	12622
"出力先: ファイル" が選択されていますが、ファイル名が指定されていません。	noPrintFilename.alert	self	You have selected "Print To: File", and the filename is empty!	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	4013
#1 から #2 へ	fromServerToServer	self	from #1 to #2	phrase, no reading now	no comment	から [から] (prt) (1) from (e.g. time, place, numerical quantity)/since/(2) from (originator)/(3) because/(4) out of (constituent, part)/(5) through (e.g. window, vestibule)/(6) after/since (following te-form verb)/(P)/<br>	firefox phrase	6670
